Length (mm),Width (mm),Height (mm),Frequency (GHz),Substrate Material,Gain (dB),Feed Position,Bandwidth (MHz),Directivity (dB)
43.70861069626263,26.66196359547577,3.355351153623154,7.054326947880082,PTFE,-2.8778222073473074,Center,75.85293712157961,10.19081785136218
95.56428757689244,58.77108526405223,3.2228091916479986,8.170132574722352,FR4,3.97826285475344,Edge,62.88770930752963,9.79181877629731
75.87945476302646,88.56512522887675,9.15629122468933,3.254211089132491,FR4,-3.238128751171951,Center,44.76220930290622,5.256420658064357
63.8792635777333,75.9002397768605,3.245915798645555,6.623866896462991,Ceramic,3.278262425139898,Center,85.10360157655589,8.412478276261563
24.041677639819287,82.59050330753047,3.447547535157679,6.145713848293738,Ceramic,-1.249604473646848,Center,74.77849380431034,8.80195618785857
24.03950683025824,69.29050300396456,7.8345843617616735,8.495473391094439,FR4,-0.9611682321159852,Edge,33.00935514759131,8.988227808969004
15.227525095137953,72.30489080660672,5.04765858205486,9.154783544331345,FR4,-2.109980999650785,Center,92.8741747595074,10.801723692273324
87.95585311974416,86.42760864087873,7.990395012596631,1.1094109432964814,PTFE,-10.800503894383372,Center,85.80297943385352,10.336025467268785
64.1003510568888,32.470120797326736,1.588295418079467,7.066179271529134,Ceramic,0.1671361522760794,Center,95.98399306335392,11.079050927934446
73.7265320016441,54.04824672788264,5.388140743060458,1.4665221920775613,PTFE,-11.181698276560152,Edge,78.0575606710688,12.648832615421282
11.85260448662222,29.9088497637642,1.3025224016495436,5.939727985696203,PTFE,-9.540059054969594,Center,69.07321567486319,13.129857387160936
97.29188669457947,98.89012071969825,1.5638788310981906,3.588694561393104,PTFE,0.4195000300721325,Center,53.45944290324951,12.181230762264944
84.91983767203796,94.9653405717952,9.157937080099698,3.760989395699271,FR4,-1.1891275583694108,Center,94.61827866832107,14.555236959549347
29.11051996104485,13.54841302316553,2.2532083400583565,4.176626531071209,PTFE,-12.135628462807464,Center,89.28511116003267,5.182325826763616
26.36424704863905,73.50176552641196,5.791786140476954,6.591632041446491,PTFE,-1.2585346652114886,Edge,23.617493608495153,6.957779856835461
26.506405886809045,93.27234856740992,4.699860423406359,4.006449691018923,FR4,-5.77468115468335,Center,22.109357959780162,5.075628749781421
37.3818018663584,26.25178106146002,4.126089936329584,7.594291455312524,Ceramic,-2.472064739781191,Edge,50.117069350243966,11.474747141546029
57.22807884690141,61.11507074973665,9.098500111185452,4.640746470164827,Ceramic,-1.2306682828118505,Edge,84.84426646254663,13.98030548949987
48.87505167779042,92.39394678292376,1.1964105709794055,1.6151788027896274,PTFE,-9.799805608274855,Edge,98.98209034519556,7.434822965762993
36.21062261782377,13.055138072721896,6.9741071755803015,8.053838582356965,FR4,-6.894679552566148,Center,32.033351288282255,14.270345447963066
65.06676052501416,72.76782405221559,9.670549907921954,3.571824921334354,Ceramic,-2.1892110013396584,Edge,67.5304572281708,5.602673902895608
22.554447458683764,36.76141066352957,6.041513651156578,4.894901916393364,PTFE,-7.530401741045429,Center,50.47126853048172,14.344360268055143
36.29301836816963,93.19565758388774,9.431402158297828,7.168994948997113,PTFE,1.88982791902386,Edge,97.59315182516826,8.516226872396345
42.97256589643225,97.39524206488308,1.470320913574214,3.992105414338408,FR4,-3.519582302754362,Edge,87.36951385085669,6.014208284492165
51.04629857953324,94.98398402020904,4.769139871667452,1.5092709053204407,PTFE,-10.08003484103496,Edge,87.06629637689103,9.858717591863257
80.66583652537122,52.67927949917174,3.34142011865846,4.365289423115322,Ceramic,-0.9164444533608718,Edge,57.49545278359762,7.567765677205079
27.970640394252374,87.58383858903821,7.577388684826568,9.50003724424873,FR4,1.6848574188611052,Edge,53.185560187013216,7.8487290196192285
56.28109945722505,86.00944586815633,9.83167381447522,6.775609575687024,Ceramic,3.4680546872266844,Edge,41.8725657544565,8.072899649262865
63.31731119758382,38.71904259189301,3.30877056199823,7.043312338004863,Ceramic,0.8500096948732527,Edge,24.51003973207417,13.030258978326634
14.180537144799796,84.60239267356096,6.88757141326667,6.690539382738758,Ceramic,-2.700024096364949,Edge,89.17779010040425,10.391612766752544
64.67903667112945,13.330687124394336,2.7828786948376614,2.7909292506349312,PTFE,-12.240387892923316,Center,85.03208073040621,8.113076991560035
25.34717113185624,63.66428906338477,6.087972291144489,4.765004776920521,PTFE,-4.872004510580772,Center,99.97741386289044,11.103337833109183
15.854643368675156,30.700795355893277,5.175392380195026,7.758458185269864,Ceramic,-5.331430480801421,Edge,99.73094696591244,12.161506742231936
95.3996983528,20.851019719955094,9.748047966683831,1.9123560779784323,Ceramic,-11.381881785173109,Edge,64.4345364482102,7.7262400073353374
96.90688297671034,16.925788146628825,6.476745454268199,3.5006749848074104,FR4,-8.728841513555924,Edge,81.51899321444084,9.135491015253514
82.7557613304815,72.66598982903258,4.145557348781369,3.4868719761926825,FR4,-3.1208982263600054,Center,95.58125839059424,6.218860933369475
37.41523922560336,40.58874673912595,2.0268620639914,4.888170348350554,PTFE,-4.914056897537099,Edge,87.97179125419292,6.811493495346803
18.79049026057455,75.22900943758853,2.361221458614411,9.823318668479663,PTFE,0.8368739788225241,Center,39.78784813945581,11.811178539649827
71.58097238609412,15.882070671904811,3.027852369561116,1.6075229201543977,FR4,-17.08072193440841,Center,56.04353082480748,6.8143834769562694
49.61372443656412,38.37613040475493,3.258699952062682,5.668308949425355,Ceramic,-2.134299619917406,Center,30.3327532121196,10.251633836670601
20.98344113603009,58.55421631378035,8.65554452057024,2.614282138109894,PTFE,-11.270127274871328,Center,96.32408218069779,12.090462617224327
54.56592191001432,81.16508483550672,6.051005094542724,9.736088908687698,Ceramic,6.230598063990223,Center,68.49397075607041,6.068769230947439
13.094966900369656,38.68772526388629,5.710518202369298,2.019731542547178,FR4,-18.60826362955256,Edge,38.29142444027702,10.673122196289036
91.83883618709038,66.33022387933082,2.032919846822957,4.632409021254321,PTFE,0.6519910964961645,Edge,73.73605475246853,7.565627837013638
33.290198344001524,89.73799734125684,8.741257240144915,7.640964863511455,PTFE,1.904366387535588,Edge,69.45025923663167,14.629268752375799
69.62700559185838,65.42768693640741,7.5053287288763535,7.340989852247008,FR4,2.139572734950459,Edge,48.65301744262724,9.835456467199247
38.053996848046985,30.96635272782704,1.6090152571000145,4.804557732045391,PTFE,-6.165553556313896,Edge,29.08460737597032,13.059925497751582
56.80612190600297,12.196070340088422,7.370515875067918,4.118717511574464,FR4,-11.05952184647742,Center,73.72585564742397,10.502265421562617
59.203925140895166,88.3088986510837,5.891843956083815,4.578511406975835,PTFE,-0.1134895208936924,Edge,61.62461607230347,5.434125328548191
26.636900997297435,11.914246976534844,1.7355281117210044,3.3784863684277537,FR4,-16.1709662200748,Edge,81.78547133885115,11.331513755940223
97.26261649881027,88.72315054157795,5.124705773757908,2.847996448361198,PTFE,-2.060907320671774,Center,61.61308008895947,14.51403342206657
